trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-546.0362710757008,"{0: 80, 1: 5, 2: 21, 3: 6, 4: 8}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-16,-214.123884821057,"{0: 18, 1: 6, 2: 7, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-58,-475.36308433073924,"{0: 50, 1: 11, 2: 10, 3: 4, 4: 8}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-43,-251.71377551485034,"{0: 39, 1: 6, 2: 12, 3: 4, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-33,-267.2109221513807,"{0: 34, 1: 4, 2: 17, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-79,-590.2413544758704,"{0: 61, 1: 9, 2: 20, 3: 6, 4: 8}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-100,-605.6461675029802,"{0: 78, 1: 9, 2: 18, 3: 5, 4: 10}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,7,-144.61589460912566,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,-100,-709.5163265799806,"{0: 77, 1: 8, 2: 25, 3: 4, 4: 11}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-100,-877.4297905301864,"{0: 64, 1: 15, 2: 22, 3: 4, 4: 15}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-43,-224.65346510960669,"{0: 40, 1: 6, 2: 13, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-100,-356.23307821036167,"{0: 84, 1: 17, 2: 17, 3: 3, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,-22,-263.29022525619587,"{0: 31, 1: 4, 2: 6, 3: 1, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-100,-497.54774981738825,"{0: 75, 1: 12, 2: 24, 3: 3, 4: 6}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-41,-412.8176352486173,"{0: 38, 1: 2, 2: 10, 3: 4, 4: 7}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,5,-80.84741698527168,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,-100,-599.3638425094587,"{0: 81, 1: 15, 2: 14, 3: 4, 4: 11}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,-77,-438.8782788674354,"{0: 75, 1: 10, 2: 14, 3: 8, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,-57,-529.7061445809854,"{0: 58, 1: 8, 2: 10, 3: 8, 4: 8}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-9,-116.61769839575048,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-16,-211.602359152731,"{0: 22, 1: 5, 2: 4, 3: 1, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-100,-553.0753295354394,"{0: 69, 1: 15, 2: 32, 3: 5, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-100,-608.2506772866301,"{0: 73, 1: 13, 2: 21, 3: 4, 4: 9}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-3,-114.71559445135667,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-40,-200.00359703344535,"{0: 44, 1: 7, 2: 9, 3: 3, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,9,-75.78096245080587,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,-11,-104.61314930631968,"{0: 17, 1: 6, 2: 6, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,-100,-787.6750649539748,"{0: 67, 1: 11, 2: 31, 3: 6, 4: 10}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,-33,-372.6200174439064,"{0: 34, 1: 6, 2: 9, 3: 3, 4: 6}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-17,-109.61150255870731,"{0: 25, 1: 2, 2: 8, 3: 1, 4: 1}",0
